name,order,json,program,propid,prio,dur,ra,dec,secz18_beg,secz18_end,secz2_beg,secz2_end,t_start,t_end,slew_s,secz_i,secz_f,coord,early_limit,late_limit,eff_prio,current_time,t_start_hidden,t_end_hidden,cumul_program_time
2025afh_P3,,2025afh_P3,DEBASS,2020B-0053,2,2.4 min,47.1 deg,-3.8 deg,21:11,21:19,21:11,21:37,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (47.1, -3.8)>",2025-03-08 00:11:51.236,2025-03-08 00:37:52.982,9999.0,2025-03-08 09:41:02.872,2025-03-08 00:11:51.236,2025-03-08 00:14:15.236,0
2025bdl_P3,,2025bdl_P3,DEBASS,2020B-0053,2,2.4 min,100.2 deg,-40.0 deg,21:11,01:58,21:11,02:18,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (100.2, -40.)>",2025-03-08 00:11:51.236,2025-03-08 05:18:32.673,9999.0,2025-03-08 09:41:02.872,,,0
2025aov_P3,,2025aov_P3,DEBASS,2020B-0053,2,2.4 min,186.4 deg,12.0 deg,00:28,05:38,00:06,06:01,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (186.4, 12.)>",2025-03-08 03:06:08.141,2025-03-08 09:01:29.364,9999.0,2025-03-08 09:41:02.872,,,0
2025gj_P3,,2025gj_P3,DEBASS,2020B-0053,2,2.4 min,146.2 deg,-20.6 deg,21:11,04:32,21:11,04:50,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (146.2, -20.6)>",2025-03-08 00:11:51.236,2025-03-08 07:50:11.539,9999.0,2025-03-08 09:41:02.872,,,0
2025kd_P3,,2025kd_P3,DEBASS,2020B-0053,2,2.4 min,87.2 deg,-25.3 deg,21:11,00:45,21:11,01:02,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (87.2, -25.3)>",2025-03-08 00:11:51.236,2025-03-08 04:02:43.240,9999.0,2025-03-08 09:41:02.872,,,0
2025acj_P3,,2025acj_P3,DEBASS,2020B-0053,2,2.4 min,195.7 deg,3.5 deg,00:32,06:36,00:12,06:36,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (195.7, 3.5)>",2025-03-08 03:12:55.553,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,,,0
2025kj_P3,,2025kj_P3,DEBASS,2020B-0053,2,2.4 min,212.5 deg,-5.5 deg,01:11,06:36,00:54,06:36,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (212.5, -5.5)>",2025-03-08 03:54:47.927,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,,,0
ECDFS,,ECDFS,EtaCar,2024B-441839,0,4.5 min,53.1 deg,-28.1 deg,21:11,22:33,21:11,22:51,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (53.1, -28.1)>",2025-03-08 00:11:51.236,2025-03-08 01:51:26.610,9999.0,2025-03-08 09:41:02.872,,,0
2025arc_P3,,2025arc_P3,DEBASS,2020B-0053,2,2.4 min,203.0 deg,-47.0 deg,23:24,06:36,23:01,06:36,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (203., -47.)>",2025-03-08 02:01:37.728,2025-03-08 09:36:34.325,9999.0,2025-03-08 09:41:02.872,,,0
DESIRT'''''',,DESIRT_80_r,DESIRT,2025A-729671,1,32.4 min,74.4 deg,-20.8 deg,21:11,23:46,21:11,00:03,,,0,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (74.4, -20.8)>",2025-03-08 00:11:51.236,2025-03-08 03:03:52.337,9999.0,2025-03-08 09:41:02.872,,,0
